Symbol,Date,Open,High,Low,Close,Volume
SRRK,22-May-2020,19.01,19.06,18.19,18.57,97300
SRTS,22-May-2020,2.08,2.19,2.05,2.1,10000
SSB,22-May-2020,46.88,47.61,46.17,46.65,145700
SSBI,22-May-2020,9.65,10.17,9.4375,10.05,19000
SSKN,22-May-2020,1.25,1.3,1.24,1.28,12100
SSNC,22-May-2020,55.98,56.995,55.27,55.85,673900
SSNT,22-May-2020,1.9,1.9,1.8,1.84,4000
SSP,22-May-2020,8.07,8.07,7.75,7.93,148900
SSPK,22-May-2020,9.9381,9.9381,9.9,9.915,146300
SSPKU,22-May-2020,10.0047,10.05,10.0047,10.05,50100
SSPKW,22-May-2020,0.2501,0.28,0.2501,0.26,64800
SSRM,22-May-2020,21.05,21.31,20.84,20.95,1300600
SSSS,22-May-2020,6.19,6.24,6.12,6.24,21800
SSTI,22-May-2020,22.48,22.67,21.55,21.67,64800
SSYS,22-May-2020,18.2,18.31,17.63,17.93,580800
STAA,22-May-2020,39.38,39.575,38.145,38.48,240200
STAF,22-May-2020,0.5915,0.61,0.5101,0.599,103900
STAY,22-May-2020,10.96,11.23,10.89,11.18,1362900
STBA,22-May-2020,22.26,22.26,21.755,22.11,89600
STCN,22-May-2020,0.51,0.511,0.475,0.4919,683600
STFC,22-May-2020,20.81,21.115,19.67,20.15,62200
STIM,22-May-2020,2.03,2.03,1.92,1.96,91800
STKL,22-May-2020,3.9,3.9,3.69,3.84,405100
STKS,22-May-2020,1.56,1.62,1.47,1.52,46700
STLD,22-May-2020,24.95,24.95,23.89,24.43,1646200
STML,22-May-2020,11.85,11.91,11.72,11.9,1284300
STMP,22-May-2020,192.58,192.58,187.56,189.04,165000
STND,22-May-2020,24.1,24.1,23.66,24.1,2800
STNE,22-May-2020,24.78,24.98,23.79,24.46,2533800
STOK,22-May-2020,29.19,30.39,28.72,29.73,55100
STRA,22-May-2020,169.7,171.32,166.57,169.61,45900
STRL,22-May-2020,8.82,8.82,8.49,8.66,114700
STRM,22-May-2020,0.978,1,0.9501,0.96,17000
STRO,22-May-2020,9.5,9.88,9.03,9.84,71900
STRS,22-May-2020,15.205,15.775,14.34,15.5,18600
STRT,22-May-2020,12.9,13.1,12.8,12.9,3800
STSA,22-May-2020,26.31,26.6,23.68,25.98,16900
STX,22-May-2020,51.16,51.37,50.06,50.96,1520400
STXB,22-May-2020,11.93,12.16,11.69,12.16,21200
SUMR,22-May-2020,4.655,4.655,4.46,4.55,4200
SUNS,22-May-2020,13.27,13.27,12.81,12.95,31100
SUNW,22-May-2020,0.4502,0.489,0.44,0.4639,587800
SUPN,22-May-2020,24.39,24.43,23.29,24.01,559600
SURF,22-May-2020,5.5,6.19,5.11,5.22,7811400
SUSB,22-May-2020,25.71,25.76,25.69,25.73,290500
SUSC,22-May-2020,26.9,26.94,26.81,26.92,22800
SUSL,22-May-2020,51.8,51.8245,51.51,51.8245,2173400
SVBI,22-May-2020,5.43,5.77,5.43,5.75,12500
SVC,22-May-2020,6.44,6.59,6,6.34,3787800
SVMK,22-May-2020,19.33,19.93,19.25,19.81,1239400
SVRA,22-May-2020,2.34,2.53,2.34,2.45,231100
SVVC,22-May-2020,3.82,3.9,3.74,3.9,31600
SWAV,22-May-2020,43.24,44.72,43.031,44.45,254300
SWIR,22-May-2020,8.7,8.7,8.14,8.45,224000
SWKH,22-May-2020,12.65,12.94,12.53,12.8,12700
SWKS,22-May-2020,114.83,117.72,113.141,117.02,1506200
SWTX,22-May-2020,39.64,41.0285,38.43,39.79,143400
SXTC,22-May-2020,0.415,0.4232,0.403,0.4232,1596200
SY,22-May-2020,10.24,10.27,9.5,9.65,508000
SYBT,22-May-2020,31.35,31.35,30.73,31.17,29100
SYBX,22-May-2020,2.29,2.3735,2.23,2.32,353500
SYKE,22-May-2020,26.04,26.37,25.55,26.17,210700
SYNA,22-May-2020,62.83,63.7,61.58,63.5,235300
SYNC,22-May-2020,1.11,1.19,1.11,1.13,103500
SYNH,22-May-2020,60.42,60.42,59.1,59.73,253100
SYNL,22-May-2020,9.03,9.65,8.5,8.98,23800
SYPR,22-May-2020,0.7,0.77,0.7,0.7199,37800
SYRS,22-May-2020,9.5,9.69,9.32,9.41,429900
TA,22-May-2020,11.29,12.26,11.2612,11.89,175300
TACO,22-May-2020,6.2,6.25,6.005,6.12,332700
TACOW,22-May-2020,0.0695,0.085,0.0525,0.0739,63000
TACT,22-May-2020,3.6601,3.7552,3.5101,3.75,14200
TAIT,22-May-2020,2.54,2.55,2.41,2.52,7200
TANH,22-May-2020,1.0273,1.035,1,1.0199,19800
TANNI,22-May-2020,21.41,21.98,21.05,21.98,22800
TANNL,22-May-2020,20.73,21.1433,20.7071,21.0571,19300
TANNZ,22-May-2020,20.4213,20.84,20.4213,20.75,10700
TAOP,22-May-2020,0.3711,0.3789,0.31,0.341,233000
TARA,22-May-2020,39.49,41.98,38.3932,41.19,25600
TAST,22-May-2020,4.11,4.19,4.02,4.12,376900
TATT,22-May-2020,3.5701,3.66,3.5701,3.65,2100
TAYD,22-May-2020,10.4,10.4,10.4,10.4,100
TBBK,22-May-2020,7.31,7.47,7.18,7.45,305900
TBIO,22-May-2020,18.96,20.86,18.7089,20.44,647400
TBK,22-May-2020,23.54,23.72,22.67,22.92,85100
TBLT,22-May-2020,1.25,1.3,1.2,1.25,1889700
TBLTW,22-May-2020,0.0452,0.0453,0.0375,0.04,16500
TBNK,22-May-2020,24.82,25.32,24.21,24.42,9900
TBPH,22-May-2020,27.29,27.44,26.81,27.38,270100
TC,22-May-2020,1.47,1.47,1.35,1.43,7400
TCBI,22-May-2020,28.61,29.16,27.72,28.52,392100
TCBIL,22-May-2020,24.99,24.99,24.92,24.976,1900
TCBIP,22-May-2020,24.8,24.95,24.75,24.89,10100
TCBK,22-May-2020,26.4,26.86,25.95,26.24,116800
TCCO,22-May-2020,2.4835,2.49,2.35,2.3611,8000
TCDA,22-May-2020,26.84,27.61,26.68,27.14,464700
TCF,22-May-2020,26.83,27.12,25.575,26.08,439700
TCFC,22-May-2020,22.45,22.77,21.88,22.77,7100
TCFCP,22-May-2020,23.56,23.92,23.56,23.9,6000
TCMD,22-May-2020,47.55,49.8,46.56,49.13,161600
TCOM,22-May-2020,24.5,24.775,23.53,23.8,6560900
TCON,22-May-2020,1.9,1.99,1.81,1.97,541900
TCPC,22-May-2020,9.88,10.09,9.73,9.97,340400
TCRD,22-May-2020,2.88,2.9,2.85,2.87,30000
TCRR,22-May-2020,10.43,11.4,9.8001,11.07,197300
TCX,22-May-2020,58.1,58.75,57.3703,58.59,17400
TDAC,22-May-2020,10.64,10.64,10.64,10.64,200000
TDACW,22-May-2020,0.11,0.1725,0.11,0.115,4100
TDIV,22-May-2020,39.11,39.19,38.81,39.18,65400
TEAM,22-May-2020,181.29,185.45,179.2001,182.6,1486000
TECD,22-May-2020,127.41,134.2,127.41,132.24,871800
TECH,22-May-2020,267.48,269.11,265.05,266.4,253600
TECTP,22-May-2020,8,8,7.961,8,8600
TEDU,22-May-2020,2.79,2.82,2.52,2.54,405400
TELA,22-May-2020,13.935,14.37,13.795,14.37,5600
TELL,22-May-2020,1.09,1.09,1.03,1.05,3151800
TENB,22-May-2020,28.87,29.8599,28.82,29.2,2154900
TENX,22-May-2020,1.2,1.22,1.12,1.18,107500
TER,22-May-2020,61.95,62.8,61.1,62.75,850300
TERP,22-May-2020,18.49,18.49,18.11,18.32,340500
TESS,22-May-2020,4.55,4.6144,4.36,4.59,89200
TEUM,22-May-2020,0.4355,0.446,0.4199,0.4401,1226400
